id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords,chinese_name
4650,03N,small_airport,Utirik Airport,11.222219,169.851429,4,OC,MH,MH-UTI,Utirik Island,yes,,UTK,03N,03N,,https://en.wikipedia.org/wiki/Utirik_Airport,,乌蒂里克机场
6807,05AK,small_airport,Wasilla Creek Airpark,61.66830063,-149.1880035,620,NA,US,US-AK,Palmer,yes,,,05AK,05AK,,,,瓦西拉溪机场
7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,NA,US,US-AK,Nunapitchuk,yes,PPIT,NUP,PPIT,16A,,https://en.wikipedia.org/wiki/Nunapitchuk_Airport,,努纳皮丘克机场
8159,19P,seaplane_base,Port Protection Seaplane Base,56.3288,-133.610001,,NA,US,US-AK,Port Protection,yes,,PPV,19P,19P,,https://en.wikipedia.org/wiki/Port_Protection_Seaplane_Base,AK19,港口保护水上飞机基地
8638,1RL,small_airport,Point Roberts Airpark,48.977316,-123.079294,10,NA,US,US-WA,Point Roberts,yes,,,K1RL,1RL,,https://en.wikipedia.org/wiki/Point_Roberts_Airpark,,罗伯茨角机场
9819,2U7,small_airport,Stanley Airport,44.2085,-114.934998,6403,NA,US,US-ID,Stanley,yes,,,,2U7,,,,斯坦利机场
9850,2WA3,small_airport,Stuart Island West Airport,48.683991,-123.222849,200,NA,US,US-WA,Friday Harbor,yes,,,2WA3,2WA3,,,,斯图尔特岛西机场
10309,38WA,small_airport,Blakely Island Airport,48.579162,-122.823844,66,NA,US,US-WA,Blakely Island,yes,,BYW,38WA,38WA,,,,布莱克利岛机场
11318,4A2,small_airport,Atmautluak Airport,60.866699,-162.272996,17,NA,US,US-AK,Atmautluak,yes,,ATT,,4A2,,https://en.wikipedia.org/wiki/Atmautluak_Airport,08AK,阿特毛特鲁克机场
11485,4K0,small_airport,Pedro Bay Airport,59.796925,-154.129994,45,NA,US,US-AK,Pedro Bay,yes,,PDB,4K0,4K0,,https://en.wikipedia.org/wiki/Pedro_Bay_Airport,AK04,佩德罗湾机场
11487,4K5,small_airport,Ouzinkie Airport,57.942094,-152.464314,55,NA,US,US-AK,Ouzinkie,yes,,KOZ,,4K5,,https://en.wikipedia.org/wiki/Ouzinkie_Airport,,乌津基机场
11488,4KA,small_airport,Tununak Airport,60.569638,-165.246649,14,NA,US,US-AK,Tununak,yes,,TNK,POKA,4KA,,https://en.wikipedia.org/wiki/Tununak_Airport,AK45,图努纳克机场
11820,4Z7,seaplane_base,Hyder Seaplane Base,55.903324,-130.009975,,NA,US,US-AK,Hyder,yes,,WHD,,4Z7,,https://en.wikipedia.org/wiki/Hyder_Seaplane_Base,,海德水上飞机基地
11900,51Z,small_airport,Minto Al Wright Airport,65.147991,-149.368658,460,NA,US,US-AK,Minto,yes,,MNT,,51Z,,https://en.wikipedia.org/wiki/Minto_Airport,,明托阿尔赖特机场
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,NA,US,US-AK,Aleknagik,yes,,WKK,5A8,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,,阿列克纳吉克/新机场
12429,5KE,seaplane_base,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,,NA,US,US-AK,Ketchikan,yes,,WFB,,5KE,,https://en.wikipedia.org/wiki/Ketchikan_Harbor_Seaplane_Base,,凯奇坎港水上飞机基地
12764,5Z9,seaplane_base,Lake Brooks Seaplane Base,58.554798,-155.776993,36,NA,US,US-AK,Katmai National Park,yes,,BKF,5Z9,5Z9,,https://en.wikipedia.org/wiki/Lake_Brooks_Seaplane_Base,,布鲁克斯湖水上飞机基地
13405,6N5,heliport,East 34th Street Heliport,40.742372,-73.972074,10,NA,US,US-NY,New York,yes,,TSS,6N5,6N5,,https://en.wikipedia.org/wiki/East_34th_Street_Heliport,,东 34 街直升机场
13407,6N7,seaplane_base,New York Skyports Inc Seaplane Base,40.735061,-73.972814,,NA,US,US-NY,New York,yes,,NYS,,6N7,,https://en.wikipedia.org/wiki/New_York_Skyports_Inc._Seaplane_Base,QNY,纽约天空港公司水上飞机基地
13634,6Y8,small_airport,Welke Airport,45.720503,-85.518866,664,NA,US,US-MI,Beaver Island,yes,,,6Y8,6Y8,,https://en.wikipedia.org/wiki/Welke_Airport,,韦尔克机场
13997,78WA,small_airport,Center Island Airport,48.490046,-122.831612,115,NA,US,US-WA,Center Island,yes,,CWS,78WA,78WA,,https://en.wikipedia.org/wiki/Center_Island_Airport,,中心岛机场
14173,7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62,NA,US,US-AK,Tatitlek,yes,PAKA,TEK,PAKA,7KA,,https://en.wikipedia.org/wiki/Tatitlek_Airport,AK47,塔提提克机场
14453,7WA5,small_airport,Stuart Island Airpark,48.673379,-123.175439,10,NA,US,US-WA,Friday Harbor,yes,,SSW,7WA5,7WA5,,,,斯图尔特岛机场
14820,89D,small_airport,Kelleys Island Land Field,41.60296,-82.687054,598,NA,US,US-OH,Kelleys Island,yes,,,89D,89D,,https://en.wikipedia.org/wiki/Kelleys_Island_Land_Field,,凯利斯岛土地领域
14843,89TE,small_airport,Lajitas International Airport,29.278,-103.686997,2630,NA,US,US-TX,Lajitas,yes,,,KT89,T89,https://www.lajitasgolfresort.com/airport/,,89TE,拉吉塔斯国际机场
15300,90WA,small_airport,Waldron Airstrip,48.71141,-123.018208,140,NA,US,US-WA,Eastsound,yes,,WDN,90WA,90WA,,,Waldronaire,沃尔德伦机场
15514,96Z,seaplane_base,Whale Pass Seaplane Float Harbor Facility,56.116299,-133.121994,,NA,US,US-AK,Whale Pass,yes,,WWP,,96Z,,https://en.wikipedia.org/wiki/North_Whale_Seaplane_Base,"North Whale SPB, North Whale Pass",鲸鱼通道水上飞机浮动港口设施
15640,9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244,NA,US,US-AK,Chuathbaluk,yes,PACH,CHU,PACH,9A3,,https://en.wikipedia.org/wiki/Chuathbaluk_Airport,,恰斯巴鲁克机场
16078,A29,seaplane_base,Sitka Seaplane Base,57.052101,-135.345993,,NA,US,US-AK,Sitka,yes,,,A29,A29,,https://en.wikipedia.org/wiki/Sitka_Seaplane_Base,AK29,锡特卡水上飞机基地
16082,A61,small_airport,Tuntutuliak Airport,60.351243,-162.654476,16,NA,US,US-AK,Tuntutuliak,yes,,WTL,A61,A61,,https://en.wikipedia.org/wiki/Tuntutuliak_Airport,AK61,图图利亚克机场
16083,A63,small_airport,Twin Hills Airport,59.074713,-160.274992,82,NA,US,US-AK,Twin Hills,yes,,TWA,A63,A63,,https://en.wikipedia.org/wiki/Twin_Hills_Airport,AK63,双山机场
16089,A79,small_airport,Chignik Lake Airport,56.255001,-158.774994,50,NA,US,US-AK,Chignik Lake,yes,,KCQ,A79,A79,,https://en.wikipedia.org/wiki/Chignik_Lake_Airport,AK79,奇格尼克湖机场
42257,AE-0001,small_airport,Batha Airport,24.214693,51.44989,257,AS,SA,SA-04,Batha,yes,OEBT,,OEBT,,,,"Ras Sumeira UAE,",巴塔机场
300646,AEI,heliport,Algeciras Heliport,36.12882,-5.441079,98,EU,ES,ES-AN,Algeciras,yes,LEAG,,LEAG,,https://www.aena.es/en/algeciras.html,https://en.wikipedia.org/wiki/Algeciras_Heliport,,阿尔赫西拉斯直升机场
31750,AF-0017,small_airport,Salerno South Airport,33.333401,69.952003,3756,AS,AF,AF-KHO,Khost,yes,,,,,,,,萨莱诺南机场
35369,AF15,heliport,Qara Tepa Heliport,37.423302,69.430298,1437,AS,AF,AF-TAK,Qara Tepa,yes,,,,,,,,卡拉特帕直升机场
336537,AG-0001,medium_airport,Burton-Nibbs International Airport,17.621194,-61.798347,28,NA,AG,AG-10,Codrington,yes,TAPB,BBQ,TAPB,,,https://en.wikipedia.org/wiki/Burton%E2%80%93Nibbs_International_Airport,"Barbuda International Airport, New Barbuda Airport",伯顿-尼布斯国际机场
30634,AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5,OC,SB,SB-ML,Auki,yes,AGGA,AKS,AGGA,,,https://en.wikipedia.org/wiki/Auki_Airport,,瓜纳鲁乌机场
302047,AGGB,small_airport,Bellona/Anua Airport,-11.302222222200001,159.798333333,60,OC,SB,SB-RB,Anua,yes,AGGB,BNY,AGGB,,,https://en.wikipedia.org/wiki/Bellona/Anua_Airport,,贝罗纳/阿努阿机场
302291,AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,,OC,SB,SB-CH,Choiseul Bay,yes,AGGC,CHY,AGGC,,,https://en.wikipedia.org/wiki/Choiseul_Bay_Airport,,舒瓦瑟尔湾机场
30678,AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,5,OC,SB,SB-WE,Ballalae,yes,AGGE,BAS,AGGE,,,https://en.wikipedia.org/wiki/Balalae_Airport,,巴拉莱机场
35167,AGGF,small_airport,Fera/Maringe Airport,-8.1075,159.576996,9,OC,SB,SB-IS,Fera Island,yes,AGGF,FRE,AGGF,,,https://en.wikipedia.org/wiki/Fera_Airport,Santa Isabel Islands,费拉/马林日机场
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,AGGH,,,https://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field,霍尼亚拉国际机场
